#################################
#	File:   localisation_fylkir_powers.csv
#	Author: Chris Saiko
#	Desc:   Fylkir Powers Localisation File
#         Windows 1252 encoding
#################################


#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CODE;ENGLISH;;;;;;;;;;;;;x

#REQUESTS
fp_claims_law_2;May Grant Claims;;;;;;;;;;;;;x
fp_claims_law_2_option;Claims;;;;;;;;;;;;;x
fp_claims_law_2_desc;The Fylkir may grant claims on titles to members of the Germanic faith.;;;;;;;;;;;;;x

fp_inv_def_law;Invasion and Religious Head Defense;;;;;;;;;;;;;x
fp_inv_def_law_desc;Controls whether the Fylkir has the power to grant the invasion Casus Belli to members of the Germanic faith and whether members of the faith are likely to come to the Fylkir's aid in defensive religious wars.;;;;;;;;;;;;;x
fp_inv_def_law_0;Grant Invasion Disallowed and No Religious Head Defense;;;;;;;;;;;;;x
fp_inv_def_law_0_option;None;;;;;;;;;;;;;x
fp_inv_def_law_0_desc;The Fylkir may not sanction invasions, and members of the faith are not likely to come to the Fylkir's aid in defensive religious wars.;;;;;;;;;;;;;x
fp_inv_def_law_1;Grant Invasion Allowed;;;;;;;;;;;;;x
fp_inv_def_law_1_option;Invasion;;;;;;;;;;;;;x
fp_inv_def_law_1_desc;The Fylkir may sanction invasions to members of the Germanic faith.;;;;;;;;;;;;;x
fp_inv_def_law_2;Religious Head Defense;;;;;;;;;;;;;x
fp_inv_def_law_2_option;Defense;;;;;;;;;;;;;x
fp_inv_def_law_2_desc;Members of the Germanic faith are likely to come to the Fylkir's aid in defensive religious wars.;;;;;;;;;;;;;x

fp_crime_punish_law;Crime and Punishment;;;;;;;;;;;;;x
fp_crime_punish_law_desc;Controls access to what criminal punishments are available to members of the Germanic faith.;;;;;;;;;;;;;x
fp_crime_punish_law_0;No Blinding and No Castration;;;;;;;;;;;;;x
fp_crime_punish_law_0_option;None;;;;;;;;;;;;;x
fp_crime_punish_law_0_desc;Adherents of the Germanic faith may neither blind prisoners, nor castrate them.;;;;;;;;;;;;;x
fp_crime_punish_law_1;Blinding Allowed;;;;;;;;;;;;;x
fp_crime_punish_law_1_option;Blind;;;;;;;;;;;;;x
fp_crime_punish_law_1_desc;Adherents of the Germanic faith may blind prisoners as a form of punishment.;;;;;;;;;;;;;x
fp_crime_punish_law_2;Castration Allowed;;;;;;;;;;;;;x
fp_crime_punish_law_2_option;Castrate;;;;;;;;;;;;;x
fp_crime_punish_law_2_desc;Adherents of the Germanic faith may castrate prisoners as a form of punishment.;;;;;;;;;;;;;x

#OPINIONS
fp_cured_me;Cured Me;;;;;;;;;;;;;x
fp_cured_me_desc;Disease Cured by Fylkir;;;;;;;;;;;;;x
fp_calmed_me;Calmed Me;;;;;;;;;;;;;x
fp_calmed_me_desc;Mind Calmed by Fylkir;;;;;;;;;;;;;x
fp_healed_me_body;Healed Me;;;;;;;;;;;;;x
fp_healed_me_body_desc;Body Healed by Fylkir;;;;;;;;;;;;;x
fp_healed_me_defect;Healed Me;;;;;;;;;;;;;x
fp_healed_me_defect_desc;Defect Healed by Fylkir;;;;;;;;;;;;;x
fp_gave_life;Extended Life;;;;;;;;;;;;;x
fp_gave_life_desc;Life Extended by Fylkir;;;;;;;;;;;;;x
fp_gave_trait;Passed Trait;;;;;;;;;;;;;x
fp_gave_trait_desc;Trait Passed from Fylkir;;;;;;;;;;;;;x

#TIMERS
fp_ask_money_timer;Ask for money timer;;;;;;;;;;;;;x
fp_ask_money_timer_desc;Two year cooldown to ask for money.;;;;;;;;;;;;;x

fp_pass_trait_timer;Pass trait timer;;;;;;;;;;;;;x
fp_pass_trait_timer_desc;One year cooldown to pass trait.;;;;;;;;;;;;;x

#additive_modifier
fp_ai_opinion;Opinion of the character;;;;;;;;;;;;;x
fp_ai_charitable;Character is charitable;;;;;;;;;;;;;x
fp_ai_piety;Piety of the character;;;;;;;;;;;;;x
fp_ai_greedy;Character is greedy;;;;;;;;;;;;;x
fp_ai_base;Base AI chance;;;;;;;;;;;;;x

#EVENTS
EVTDESCfp.101;Change Religious Member Doctrines;;;;;;;;;;;;;x
EVTOPTAfp.101;Excommunication toggle;;;;;;;;;;;;;x
EVTOPTBfp.101;Divorce;;;;;;;;;;;;;x
EVTOPTCfp.101;Claims;;;;;;;;;;;;;x
EVTOPTDfp.101;I've changed my mind. The member doctrines are fine as is.;;;;;;;;;;;;;x

EVTDESCfp.102;Change Religious War Doctrines;;;;;;;;;;;;;x
EVTOPTAfp.102;fylkir_powers Option A;;;;;;;;;;;;;x
EVTOPTBfp.102;fylkir_powers Option B;;;;;;;;;;;;;x
EVTOPTCfp.102;fylkir_powers Option C;;;;;;;;;;;;;x
EVTOPTDfp.102;I've changed my mind. The war doctrines are fine as is.;;;;;;;;;;;;;x

EVTDESCfp.300;Great §Y[Root.GetTitledName]§!, I am in need of gold in my struggles to manage the realm. Perhaps in your wisdom, you might see fit to aid me?;;;;;;;;;;;;;x
EVTOPTAfp.300;Your request for gold is granted.;;;;;;;;;;;;;x
EVTOPTA_TTfp.300;Request for gold is granted.;;;;;;;;;;;;;x
EVTOPTBfp.300;I am unable to fulfill your request for gold.;;;;;;;;;;;;;x
EVTOPTB_TTfp.300;Request for gold is not granted.;;;;;;;;;;;;;x

EVTNAMEfp.400;The Jarnhendur;;;;;;;;;;;;;x
EVTDESCfp.400;As the leader of the many Germanic faithful, it has become apparent that the Fylkirate requires a force to protect itself from enemies both within and without the realm. Wavering neither in the sight of the heathen, nor in the face of [Root.Religion.GetRandomEvilGodName] or any other evil, the Jarnhendur will be the iron hand of the [Root.GetTitle], carrying out [Root.GetHerHis] and [Root.Religion.GetHighGodName]'s will until the end of time.;;;;;;;;;;;;;x
EVTOPTAfp.400;They shall serve me with honor.;;;;;;;;;;;;;x

EVTDESCfp.999;fylkir_powers Event testing;;;;;;;;;;;;;x
EVTOPTAfp.999;fylkir_powers Option A;;;;;;;;;;;;;x
EVTOPTBfp.999;fylkir_powers Option B;;;;;;;;;;;;;x

#TITLES
d_jarnhendur;Jarnhendur;;;;;;;;;;;;;x
d_jarnhendur_adj;Handhæg;;;;;;;;;;;;;x
